"concept_cd","ICD_Description","Long_COVID_Likelihood_Speculative","Explanation_Speculative","Chronic_Status","Chronic_Explanation"
"ICD10:R26.2","Other specified abnormal findings (R26)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R41.0","Disorientation, unspecified","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R47.1","Other specified abnormal findings (R47)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R48.0","Other specified abnormal findings (R48)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R47.02","Other specified abnormal findings (R47)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R29.810","Other specified abnormal findings (R29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R25.3","Other specified abnormal findings (R25)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R41.844","Frontal lobe and executive function deficit","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R53.2","Functional quadriplegia","High","Core long COVID symptoms with strong evidence","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R41.4","Neurologic neglect syndrome","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R25.8","Other specified abnormal findings (R25)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R26.89","Other specified abnormal findings (R26)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R41.3","Other amnesia","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R43.8","Other disturbances of smell and taste","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R27.8","Other specified abnormal findings (R27)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R47.89","Other specified abnormal findings (R47)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R48.8","Other specified abnormal findings (R48)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R41.89","Other symptoms involving cognitive functions","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R29.818","Other specified abnormal findings (R29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R43.2","Parageusia","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R26.1","Other specified abnormal findings (R26)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R43.1","Parosmia","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R47.81","Other specified abnormal findings (R47)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R40.4","Transient alteration of awareness","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R25.1","Other specified abnormal findings (R25)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R25.9","Other specified abnormal findings (R25)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R26.9","Other specified abnormal findings (R26)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R43.9","Unspecified disturbances of smell and taste","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R27.9","Other specified abnormal findings (R27)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R47.9","Other specified abnormal findings (R47)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R41.9","Unspecified symptoms involving cognitive functions","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R29.90","Other specified abnormal findings (R29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R26.81","Other specified abnormal findings (R26)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L98.421","Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98.421)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L98.422","Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98.422)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L98.429","Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98.429)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L98.411","Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98.411)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L98.419","Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98.419)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L97.321","Non-pressure chronic ulcer of lower limb, not elsewhere classified (L97.321)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.329","Non-pressure chronic ulcer of lower limb, not elsewhere classified (L97.329)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.221","Non-pressure chronic ulcer of lower limb, not elsewhere classified (L97.221)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.222","Non-pressure chronic ulcer of lower limb, not elsewhere classified (L97.222)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.229","Non-pressure chronic ulcer of lower limb, not elsewhere classified (L97.229)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.421","Non-pressure chronic ulcer of lower limb, not elsewhere classified (L97.421)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
